spec,cohort,median_a_us,median_b_us,median_delta_us,median_relative_delta,candidate_faster_pairs,pair_count,a_block_dim,b_block_dim,target_pass,material_regression,material_pairs
f16_p1_n33,control,4.06,3.84,-0.21999999999999975,-0.05418719211822654,1,1,1,1,yes,no,
f16_p2_n33,control,3.74,4.32,0.5800000000000001,0.15508021390374332,0,1,1,1,yes,yes,1
f16_p1_n255,control,3.521,3.5,-0.020999999999999908,-0.005964214711729596,1,1,1,1,yes,no,
f16_p2_n255,control,3.58,3.56,-0.020000000000000018,-0.005586592178770954,1,1,1,1,yes,no,
f16_p1_n257,control,3.48,3.9,0.41999999999999993,0.12068965517241377,0,1,1,1,yes,no,
f16_p2_n257,control,4.54,4.421,-0.11899999999999977,-0.02621145374449334,1,1,1,1,yes,no,
f16_p1_n777,control,4.021,4.0305,0.009500000000000064,0.0023625963690624384,0,1,2,2,yes,no,
f16_p2_n777,control,4.321,4.281,-0.040000000000000036,-0.009257116408238843,1,1,2,2,yes,no,
f16_p1_n1000,control,3.66,3.58,-0.08000000000000007,-0.021857923497267777,1,1,3,3,yes,no,
f16_p2_n1000,control,3.66,3.8,0.13999999999999968,0.03825136612021849,0,1,3,3,yes,no,
f16_p1_n10000,control,4.7305,4.7,-0.03049999999999997,-0.006447521403657112,1,1,20,20,yes,no,
f16_p2_n10000,control,5.02,5.06,0.040000000000000036,0.00796812749003985,0,1,20,20,yes,no,
f16_p2_outer1,control,2.7,2.68,-0.020000000000000018,-0.007407407407407414,1,1,1,1,yes,no,
f16_p2_outer19,control,3.361,3.361,0.0,0.0,0,1,3,3,yes,no,
f16_p2_outer20,control,3.72,3.58,-0.14000000000000012,-0.03763440860215057,1,1,3,3,yes,no,
f16_p2_outer21,control,3.56,3.521,-0.039000000000000146,-0.01095505617977532,1,1,3,3,yes,no,
f32_p2_n7,control,4.34,4.34,0.0,0.0,0,1,1,1,yes,no,
f32_p2_n31,control,3.92,4.28,0.3600000000000003,0.09183673469387764,0,1,1,1,yes,no,
f32_p2_n255,control,3.34,3.421,0.08099999999999996,0.024251497005988013,0,1,2,2,yes,no,
