spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
bf16_tail_p2_rev,Greater,1050,150,900,4.0,4.3,4.026501111111111,0.12884026716523792,0.03199807068467057,3.72,4.6,4,[4],0.27,0.266,0.62,0.129,PASS,specs/bf16_tail_p2_rev/profile/PROF_000001_20260901003301322_PHJQBCBHCGHROIOA/mindstudio_profiler_output/op_summary_20260901003316.csv
i32_tail_p1,Greater,1050,150,900,4.3,4.58,4.315036666666667,0.13464769581722852,0.031204299341734874,4.04,4.88,6,[6],0.2975,0.236,0.568,0.116,PASS,specs/i32_tail_p1/profile/PROF_000001_20260901003323897_PPLPGJBHAANJLJNB/mindstudio_profiler_output/op_summary_20260901003338.csv
i32_tail_p1_rev,Greater,1050,150,900,4.42,4.64195,4.416776666666667,0.13251636423056926,0.030002957865329218,4.08,4.9,6,[6],0.314,0.229,0.559,0.112,PASS,specs/i32_tail_p1_rev/profile/PROF_000001_20260901003346451_HFCAGQQLBJEFKQNA/mindstudio_profiler_output/op_summary_20260901003401.csv
i32_tail_p2,Greater,1050,150,900,4.16,4.42,4.183176666666666,0.12407039628103614,0.02965937280863175,3.92,4.721,6,[6],0.235,0.261,0.621,0.121,PASS,specs/i32_tail_p2/profile/PROF_000001_20260901003409277_LPQROLAROBRRARIA/mindstudio_profiler_output/op_summary_20260901003424.csv
i32_tail_p2_rev,Greater,1050,150,900,4.08,4.32,4.094626666666667,0.12879716421999018,0.03145516666232254,3.78,4.761,6,[6],0.211,0.276,0.656,0.111,PASS,specs/i32_tail_p2_rev/profile/PROF_000001_20260901003432451_NAKOMNOKNGOMIBJA/mindstudio_profiler_output/op_summary_20260901003447.csv
i8_tail_p1,Greater,1050,150,900,3.581,3.821,3.611878888888889,0.11426350539622045,0.03163547530558838,3.381,4.24,3,[3],0.276,0.259,0.577,0.13,PASS,specs/i8_tail_p1/profile/PROF_000001_20260901003455382_BGNNLGBPQQEPJIQB/mindstudio_profiler_output/op_summary_20260901003511.csv
i8_tail_p1_rev,Greater,1050,150,900,3.72,3.98,3.7413900000000004,0.12108799422091533,0.0323644405477417,3.5,4.261,3,[3],0.28,0.249,0.591,0.125,PASS,specs/i8_tail_p1_rev/profile/PROF_000001_20260901003519525_PMGPGRRANAQHDGHC/mindstudio_profiler_output/op_summary_20260901003535.csv
i8_tail_p2,Greater,1050,150,900,3.42,3.7,3.4449166666666664,0.13046109999195593,0.037870611284827195,3.2,4.1,3,[3],0.253,0.25,0.669,0.142,PASS,specs/i8_tail_p2/profile/PROF_000001_20260901003543446_EHFDFOOPCBICDGOB/mindstudio_profiler_output/op_summary_20260901003558.csv
i8_tail_p2_rev,Greater,1050,150,900,3.6,3.84,3.61393,0.1225813860710961,0.03391913680428124,3.361,4.2,3,[3],0.293,0.236,0.619,0.146,PASS,specs/i8_tail_p2_rev/profile/PROF_000001_20260901003606306_IKRNJBCJIEPNPCGA/mindstudio_profiler_output/op_summary_20260901003619.csv
f16_p1_n1,Greater,1050,150,900,4.3004999999999995,4.7,4.3298966666666665,0.2451221858357356,0.056611555588101554,3.84,5.0,1,[1],0.3225,0.112,0.383,0.302,PASS,specs/f16_p1_n1/profile/PROF_000001_20260901003627313_IAHLOBFQKPNFOHGA/mindstudio_profiler_output/op_summary_20260901003641.csv
f16_p2_n1,Greater,1050,150,900,2.061,2.24,2.080975555555556,0.07213953656492723,0.034666210457079696,1.94,2.42,1,[1],0.28,0.119,0.963,0.067,PASS,specs/f16_p2_n1/profile/PROF_000001_20260901003648516_DLQAIBAPADAFCJMB/mindstudio_profiler_output/op_summary_20260901003704.csv
f16_p1_n7,Greater,1050,150,900,4.82,5.041,4.836097777777778,0.11749431851775058,0.024295273569042698,4.54,5.36,1,[1],0.384,0.098,0.3625,0.281,PASS,specs/f16_p1_n7/profile/PROF_000001_20260901003711729_REKBGDJBBRCQQQRA/mindstudio_profiler_output/op_summary_20260901003727.csv
f16_p2_n7,Greater,1050,150,900,4.12,4.4,4.137545555555556,0.13318528919525874,0.03218944357396343,3.92,4.741,1,[1],0.293,0.117,0.434,0.298,PASS,specs/f16_p2_n7/profile/PROF_000001_20260901003734711_BBQEHOGJKENRPPJC/mindstudio_profiler_output/op_summary_20260901003750.csv
f16_p1_n31,Greater,1050,150,900,3.76,3.96,3.745601111111111,0.13385425655826347,0.035736388522844165,3.38,4.1,1,[1],0.253,0.13,0.451,0.335,PASS,specs/f16_p1_n31/profile/PROF_000001_20260901003757686_GDKELBIMGOQEKEIA/mindstudio_profiler_output/op_summary_20260901003813.csv
