spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f32_same_4m,Greater,1050,150,900,43.301,44.062,43.220555555555556,0.5589231732360422,0.012931883129489261,41.722,44.501,20,[20],0.948,0.229,0.44,0.2365,PASS,specs/f32_same_4m/profile/PROF_000001_20260831190904667_KIBPHKEGQMMEGAMB/mindstudio_profiler_output/op_summary_20260831190921.csv
f32_same_8m,Greater,1050,150,900,85.424,86.48400000000001,85.48773222222222,0.5391043029008142,0.006306218317962072,84.224,87.544,40,[40],0.969,0.113,0.223,0.633,PASS,specs/f32_same_8m/profile/PROF_000001_20260831190928508_EINQGEIFJBDCALAC/mindstudio_profiler_output/op_summary_20260831190945.csv
f32_bouter,Greater,1050,150,900,88.924,90.184,88.94923777777778,0.761920085570043,0.008565785436785314,86.903,91.064,40,[40],0.939,0.384,0.464,0.434,PASS,specs/f32_bouter/profile/PROF_000001_20260831190952394_JODDGGNIFJLGKFOB/mindstudio_profiler_output/op_summary_20260831191007.csv
f32_binner,Greater,1050,150,900,88.4135,89.24399999999999,88.43213333333333,0.49770580779322987,0.005628110382876246,87.064,90.364,40,[40],0.946,0.34,0.495,0.417,PASS,specs/f32_binner/profile/PROF_000001_20260831191014435_RAAFNNMOKONAKEMA/mindstudio_profiler_output/op_summary_20260831191030.csv
f32_binner_16128,Greater,1050,150,900,87.804,88.84494999999998,87.7844,0.6552145161870441,0.007463906072001905,85.783,89.784,40,[40],0.948,0.337,0.491,0.421,PASS,specs/f32_binner_16128/profile/PROF_000001_20260831191037566_OPPBLGDFBOLENHLC/mindstudio_profiler_output/op_summary_20260831191052.csv
f32_binner_16129,Greater,1050,150,900,88.403,89.363,88.4003311111111,0.5804521487875627,0.006566176183865054,86.803,90.284,40,[40],0.948,0.335,0.488,0.438,PASS,specs/f32_binner_16129/profile/PROF_000001_20260831191059672_GAQNNJFRQEGPCKHC/mindstudio_profiler_output/op_summary_20260831191116.csv
f32_tail_same,Greater,1050,150,900,43.162,43.78295,43.17733888888889,0.3556629516189745,0.00823725965451983,42.322,44.282,20,[20],0.949,0.224,0.434,0.1665,PASS,specs/f32_tail_same/profile/PROF_000001_20260831191123697_CIOLDEROBAIKPECB/mindstudio_profiler_output/op_summary_20260831191139.csv
f32_p1_large_inner,Greater,1050,150,900,232.86950000000002,234.21095000000003,232.8961111111111,0.8135446507509172,0.0034931654584940135,230.429,235.59,20,[20],0.983,0.407,0.719,0.548,PASS,specs/f32_p1_large_inner/profile/PROF_000001_20260831191146648_FLCERPHEDNQJEBDB/mindstudio_profiler_output/op_summary_20260831191201.csv
f32_p2_large_inner,Greater,1050,150,900,279.87149999999997,281.79105,279.91826000000003,1.0752511836568959,0.003841304185217841,276.771,284.052,20,[20],0.721,0.44,0.458,0.422,PASS,specs/f32_p2_large_inner/profile/PROF_000001_20260831191208836_OJCOQCAGJARQCRCA/mindstudio_profiler_output/op_summary_20260831191225.csv
f32_p1_tiny_inner_big,Greater,1050,150,900,1673.847,1686.4719499999999,1674.1694400000001,7.304503030609115,0.004363060784701168,1653.147,1697.268,40,[40],0.693,0.276,0.262,0.797,PASS,specs/f32_p1_tiny_inner_big/profile/PROF_000001_20260831191232722_OAHNJLIPLFREEPJC/mindstudio_profiler_output/op_summary_20260831191250.csv
