spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_p2_n1000,Greater,1050,150,900,3.62,3.86,3.6232066666666665,0.13211943906094128,0.03646478139832155,3.32,4.2,3,[3],0.266,0.224,0.643,0.131,PASS,specs/f16_p2_n1000/profile/PROF_000001_20260831200833822_JHQOLNLIRDCPGJOB/mindstudio_profiler_output/op_summary_20260831200849.csv
f16_p1_n10000,Greater,1050,150,900,4.78,5.16,4.780366666666667,0.24439514679669433,0.05112477009365272,4.3,5.66,20,[20],0.353,0.156,0.732,0.152,PASS,specs/f16_p1_n10000/profile/PROF_000001_20260831200856959_JAINIMCCGLJPOHQA/mindstudio_profiler_output/op_summary_20260831200912.csv
f16_p2_n10000,Greater,1050,150,900,5.021,5.46,5.0511477777777785,0.23512929621700945,0.046549676739106045,4.52,5.94,20,[20],0.361,0.176,0.704,0.133,PASS,specs/f16_p2_n10000/profile/PROF_000001_20260831200919783_NCCBCHEIANMQMIMC/mindstudio_profiler_output/op_summary_20260831200934.csv
f16_p2_outer1,Greater,1050,150,900,2.68,2.9,2.690731111111111,0.1107691138704933,0.04116692054924518,2.44,3.221,1,[1],0.301,0.106,0.726,0.103,PASS,specs/f16_p2_outer1/profile/PROF_000001_20260831200942133_CCOEEGHKNCRPLRPB/mindstudio_profiler_output/op_summary_20260831200957.csv
f16_p2_outer19,Greater,1050,150,900,3.44,3.68,3.4690266666666663,0.11195927513559965,0.032273973622456924,3.24,3.94,3,[3],0.26,0.216,0.6605000000000001,0.134,PASS,specs/f16_p2_outer19/profile/PROF_000001_20260831201005320_HPKPGLAMAMCKKFJB/mindstudio_profiler_output/op_summary_20260831201020.csv
f16_p2_outer20,Greater,1050,150,900,3.701,3.94,3.71292,0.137745394115375,0.03709893941032261,3.4,4.28,3,[3],0.296,0.211,0.618,0.129,PASS,specs/f16_p2_outer20/profile/PROF_000001_20260831201027911_KGNMBARRIKGHFCFB/mindstudio_profiler_output/op_summary_20260831201043.csv
f16_p2_outer21,Greater,1050,150,900,3.5,3.74,3.5154433333333333,0.12375922910590911,0.035204444324966826,3.26,4.121,3,[3],0.272,0.233,0.624,0.135,PASS,specs/f16_p2_outer21/profile/PROF_000001_20260831201050953_HPPRDFNKDKRJRRGB/mindstudio_profiler_output/op_summary_20260831201104.csv
f32_p2_n7,Greater,1050,150,900,4.321,4.521,4.330828888888889,0.12483850745346921,0.02882554602278401,4.04,4.681,1,[1],0.349,0.156,0.478,0.335,PASS,specs/f32_p2_n7/profile/PROF_000001_20260831201112279_IABJGINRAHCLHLCA/mindstudio_profiler_output/op_summary_20260831201127.csv
f32_p2_n31,Greater,1050,150,900,3.88,4.08,3.8921566666666663,0.0925097887313073,0.02376825925934139,3.7,4.301,1,[1],0.383,0.177,0.568,0.338,PASS,specs/f32_p2_n31/profile/PROF_000001_20260831201135040_OPOBFCELAEJRKOGC/mindstudio_profiler_output/op_summary_20260831201149.csv
f32_p2_n255,Greater,1050,150,900,3.62,3.86,3.6353488888888887,0.12175578676135498,0.033492187540373475,3.38,4.141,2,[2],0.341,0.12,0.551,0.172,PASS,specs/f32_p2_n255/profile/PROF_000001_20260831201157339_QKLQBFFFELGPKHEB/mindstudio_profiler_output/op_summary_20260831201212.csv
